date,price
2021.04.12,7410
2021.04.09,7200
2021.04.08,7300
2021.04.07,7300
2021.04.06,7400
2021.04.05,7480
2021.04.02,7160
2021.04.01,7180
2021.03.31,7250
2021.03.30,7230
2021.03.29,7110
2021.03.26,7210
2021.03.25,7220
2021.03.24,7180
2021.03.23,7050
2021.03.22,7180
2021.03.19,6940
2021.03.18,6780
2021.03.17,6750
2021.03.16,6730
2021.03.15,6650
2021.03.12,6690
2021.03.11,6590
2021.03.10,6310
2021.03.09,6550
2021.03.08,6650
2021.03.05,6840
2021.03.04,6990
2021.03.03,7330
2021.03.02,7320
2021.02.26,7240
2021.02.25,7450
2021.02.24,7340
2021.02.23,7210
2021.02.22,7200
2021.02.19,7410
2021.02.18,7650
2021.02.17,8030
2021.02.16,7760
2021.02.15,7720
2021.02.10,7500
2021.02.09,7690
2021.02.08,7310
2021.02.05,7410
2021.02.04,7520
2021.02.03,7640
2021.02.02,7330
2021.02.01,7270
2021.01.29,7180
2021.01.28,7470
2021.01.27,7900
2021.01.26,8160
2021.01.25,8420
2021.01.22,7180
2021.01.21,7030
2021.01.20,7250
2021.01.19,6760
2021.01.18,6530
2021.01.15,6470
2021.01.14,6580
2021.01.13,6630
2021.01.12,6430
2021.01.11,6330
2021.01.08,6570
2021.01.07,6450
2021.01.06,6410
2021.01.05,6270
2021.01.04,6250
2020.12.30,6200
2020.12.29,6120
2020.12.28,6040
2020.12.24,6350
2020.12.23,5900
2020.12.22,5900
2020.12.21,6150
2020.12.18,6200
2020.12.17,6170
2020.12.16,6190
2020.12.15,6160
2020.12.14,6280
2020.12.11,5990
2020.12.10,5880
2020.12.09,5890
2020.12.08,5820
2020.12.07,5840
2020.12.04,5870
2020.12.03,5960
2020.12.02,6050
2020.12.01,6060
2020.11.30,6070
2020.11.27,6120
2020.11.26,6290
2020.11.25,6290
2020.11.24,6410
2020.11.23,6410
2020.11.20,6450
2020.11.19,6350
2020.11.18,6400
2020.11.17,6430
2020.11.16,6360
2020.11.13,6450
2020.11.12,6640
2020.11.11,6600
2020.11.10,6630
2020.11.09,6420
2020.11.06,6430
2020.11.05,6660
2020.11.04,6280
2020.11.03,6560
2020.11.02,6380
2020.10.30,6400
2020.10.29,6400
2020.10.28,6280
2020.10.27,6000
2020.10.26,6020
2020.10.23,5960
2020.10.22,5770
2020.10.21,5920
2020.10.20,5880
2020.10.19,5880
2020.10.16,5950
2020.10.15,6200
2020.10.14,6370
2020.10.13,6600
2020.10.12,6590
2020.10.08,6660
2020.10.07,6660
2020.10.06,6500
2020.10.05,6510
2020.09.29,6170
2020.09.28,5840
2020.09.25,5740
2020.09.24,5900
2020.09.23,6120
2020.09.22,5830
2020.09.21,6220
2020.09.18,6500
2020.09.17,6760
2020.09.16,6250
2020.09.15,6080
2020.09.14,6010
2020.09.11,5930
2020.09.10,6070
2020.09.09,5890
2020.09.08,5860
2020.09.07,5900
2020.09.04,5900
2020.09.03,5980
2020.09.02,6000
2020.09.01,5910
2020.08.31,5640
2020.08.28,5320
2020.08.27,5140
2020.08.26,5350
2020.08.25,5490
2020.08.24,5100
2020.08.21,5150
2020.08.20,5130
2020.08.19,5570
2020.08.18,5510
2020.08.14,6230
2020.08.13,6730
2020.08.12,6300
2020.08.11,6410
2020.08.10,6380
2020.08.07,6360
2020.08.06,6500
2020.08.05,6290
2020.08.04,6030
2020.08.03,6030
2020.07.31,6100
2020.07.30,6050
2020.07.29,6110
2020.07.28,6200
2020.07.27,6260
2020.07.24,6230
2020.07.23,6150
2020.07.22,6240
2020.07.21,6230
2020.07.20,6290
2020.07.17,6340
2020.07.16,6200
2020.07.15,6070
2020.07.14,6000
2020.07.13,6090
2020.07.10,6070
2020.07.09,6200
2020.07.08,6060
2020.07.07,6090
2020.07.06,6160
